Sponsor,Sponsor_Class,Total_Trials,Completed,Failed,Active,Mean_Success_Score,Completion_Efficiency_Percent,Failure_Percent
Takeda,INDUSTRY,4,1,3,0,49.5,25.0,75.0
Centre Hospitalier St Anne,OTHER,4,1,0,3,47.5,25.0,0.0
Chinese University of Hong Kong,OTHER,12,3,0,9,47.083333333333336,25.0,0.0
University of Oxford,OTHER,4,1,1,1,46.25,25.0,25.0
Fujian Medical University Union Hospital,OTHER,4,1,0,1,44.0,25.0,0.0
vTv Therapeutics,INDUSTRY,4,1,3,0,42.5,25.0,75.0
Hong Kong University of Science and Technology,OTHER,4,1,0,3,42.25,25.0,0.0
AC Immune SA,INDUSTRY,4,1,1,2,39.25,25.0,25.0
Allyx Therapeutics,INDUSTRY,4,1,0,1,37.75,25.0,0.0
Hadassah Medical Organization,OTHER,4,1,0,2,34.5,25.0,0.0
Beersheva Mental Health Center,OTHER_GOV,4,1,1,0,33.75,25.0,25.0
German Center for Neurodegenerative Diseases (DZNE),OTHER,4,1,1,0,33.25,25.0,25.0
Medical College of Wisconsin,OTHER,4,1,3,0,27.75,25.0,75.0
Shanghai Mental Health Center,OTHER,9,2,0,1,60.888888888888886,22.2,0.0
Capital Medical University,OTHER,9,2,1,6,48.0,22.2,11.1
Universitaire Ziekenhuizen KU Leuven,OTHER,9,2,0,3,44.55555555555556,22.2,0.0
Nantes University Hospital,OTHER,9,2,5,1,29.444444444444443,22.2,55.6
Weill Medical College of Cornell University,OTHER,14,3,4,7,33.57142857142857,21.4,28.6
"Central Hospital, Nancy, France",OTHER,19,4,1,7,42.578947368421055,21.1,5.3
Skane University Hospital,OTHER,5,1,0,4,62.4,20.0,0.0
"Eidos Therapeutics, a BridgeBio company",INDUSTRY,5,1,2,2,55.2,20.0,40.0
China Medical University Hospital,OTHER,5,1,0,2,52.2,20.0,0.0
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER,5,1,1,3,43.0,20.0,20.0
Vanderbilt University Medical Center,OTHER,10,2,2,6,40.0,20.0,20.0
